file_path,file_size,file_md5,is_symlink,file_size_h,folder
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Controls.pdf,29637424.0,f7803bede3d4bc20f76ebd9e4d41975e,False,28.26 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Controls (1).pdf,29637424.0,f7803bede3d4bc20f76ebd9e4d41975e,False,28.26 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls
/Users/arunpatro/My Drive/Books/Machine Learning - A Probabilistic Perspective - Kevin Murphy.pdf,26942669.0,8ecfeeb2e1f9a19c770fba1ff85fa566,False,25.69 MB,/Users/arunpatro/My Drive/Books
/Users/arunpatro/My Drive/Myntra/pdfs/Machine Learning - A Probabilistic Perspective - Kevin Murphy.pdf,26942669.0,8ecfeeb2e1f9a19c770fba1ff85fa566,False,25.69 MB,/Users/arunpatro/My Drive/Myntra/pdfs
/Users/arunpatro/My Drive/Myntra/pdfs/papers/AAAI 2018 Notes.pdf,20153385.0,99b7e7dbc4ca41b663ff194bc69f5dd1,False,19.22 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/Myntra/pdfs/papers/aaai_2018.pdf,20153385.0,99b7e7dbc4ca41b663ff194bc69f5dd1,False,19.22 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual/07 Speed Control of DC Motor.pdf,18379373.0,20ebf22d00f46108f87bfea5d7fcce8e,False,17.53 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Lab Manual/pe7.pdf,18379373.0,20ebf22d00f46108f87bfea5d7fcce8e,False,17.53 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Lab Manual
/Users/arunpatro/My Drive/Books - 2/Bayesian Reasoning and Machine Learning.pdf,16412064.0,9a1bc658e14ed12dec3c9352fc2edbfb,False,15.65 MB,/Users/arunpatro/My Drive/Books - 2
/Users/arunpatro/My Drive/Books - 2/Probalistic Inference - David Barber.pdf,16412064.0,9a1bc658e14ed12dec3c9352fc2edbfb,False,15.65 MB,/Users/arunpatro/My Drive/Books - 2
"/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/Rajagopalan A.N., Chellappa R. eds. Motion Deblurring Algorithms and Systems.pdf",14057840.0,0fe8f03a1348cada9313b7b77318aa25,False,13.41 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP
"/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/Rajagopalan A.N., Chellappa R. eds. Motion Deblurring Algorithms and Systems (1).pdf",14057840.0,0fe8f03a1348cada9313b7b77318aa25,False,13.41 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP
"/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/Rajagopalan A.N., Chellappa R. eds. Motion Deblurring Algorithms and Systems (2).pdf",14057840.0,0fe8f03a1348cada9313b7b77318aa25,False,13.41 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP
/Users/arunpatro/My Drive/Books/calvin&hobbes/Calvin_and_Hobbes__5-_Revenge_of_the_Baby-Sat_1988-1989.pdf,12870317.0,80626426bb7f73a4fe67299ce98547bf,False,12.27 MB,/Users/arunpatro/My Drive/Books/calvin&hobbes
/Users/arunpatro/My Drive/Books/calvin&hobbes/Calvin and Hobbes THE COMIC BOOK - Revenge of the baby-sat 1988-1989.pdf,12870317.0,80626426bb7f73a4fe67299ce98547bf,False,12.27 MB,/Users/arunpatro/My Drive/Books/calvin&hobbes
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (12).mat,11041543.0,d77f457ca7e2dc4f387924afa1193614,False,10.53 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (12).mat,11041543.0,d77f457ca7e2dc4f387924afa1193614,False,10.53 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Electronics Notes(post mid).pdf,10545220.0,18a07c4337ebd7f96636d4bb0b19ae29,False,10.06 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics Notes(post mid).pdf,10545220.0,18a07c4337ebd7f96636d4bb0b19ae29,False,10.06 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (2).mat,9089254.0,48a0c16768e63ac79aa07d70eb517fcc,False,8.67 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (2).mat,9089254.0,48a0c16768e63ac79aa07d70eb517fcc,False,8.67 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Tuts/T5.pdf,8898562.0,6f65c79642c9e3ba00e72d45974d2386,False,8.49 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Tuts
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Control Systems Tutorials/T5.pdf,8898562.0,6f65c79642c9e3ba00e72d45974d2386,False,8.49 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Control Systems Tutorials
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (4).mat,8528908.0,8e817498dcfe71014f3549e6836a28e4,False,8.13 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (4).mat,8528908.0,8e817498dcfe71014f3549e6836a28e4,False,8.13 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (3).mat,8496738.0,9f8240fca8a30b8f2e0d9995ef50a62c,False,8.1 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (3).mat,8496738.0,9f8240fca8a30b8f2e0d9995ef50a62c,False,8.1 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/Myntra/pdfs/papers/UNSUPERVISED CROSS-DOMAIN IMAGE GENERATION.pdf,8348258.0,dcaddd40b12a2e8caf5ac711b97be615,False,7.96 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature/UNSUPERVISED CROSS-DOMAIN IMAGE GENERATION .pdf,8348258.0,dcaddd40b12a2e8caf5ac711b97be615,False,7.96 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (6).mat,8240549.0,cd91716ceed92481ff1edaae285d5164,False,7.86 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (6).mat,8240549.0,cd91716ceed92481ff1edaae285d5164,False,7.86 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (7).mat,8045298.0,340c96e6584d2e269bc81dbbdac245bb,False,7.67 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (7).mat,8045298.0,340c96e6584d2e269bc81dbbdac245bb,False,7.67 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (5).mat,7909071.0,ed08e90b834e30e2772af48f9fb4c699,False,7.54 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (5).mat,7909071.0,ed08e90b834e30e2772af48f9fb4c699,False,7.54 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (11).mat,7870452.0,39c92efc031dbbfc6a6c62ba76952ee9,False,7.51 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (11).mat,7870452.0,39c92efc031dbbfc6a6c62ba76952ee9,False,7.51 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (9).mat,7757527.0,30a512541de5c65917eaa403f902c87c,False,7.4 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (9).mat,7757527.0,30a512541de5c65917eaa403f902c87c,False,7.4 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (10).mat,7698806.0,15edb96e6dd14cfb4cd62f8640a52909,False,7.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (10).mat,7698806.0,15edb96e6dd14cfb4cd62f8640a52909,False,7.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements/IIT Medical Report,7619943.0,f039336c630c0f1bc2f16e1c50658081,False,7.27 MB,/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements
/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements/IIT Medicine/IIT Medical Report,7619943.0,f039336c630c0f1bc2f16e1c50658081,False,7.27 MB,/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements/IIT Medicine
/Users/arunpatro/My Drive/Books/Physics/GRI SOL.pdf,6839818.0,53a07db9d914217d857058599bc95a79,False,6.52 MB,/Users/arunpatro/My Drive/Books/Physics
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/GRI SOL.pdf,6839818.0,53a07db9d914217d857058599bc95a79,False,6.52 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (1).mat,6535408.0,2cf09cf91f10a569b0cf8725864a878a,False,6.23 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (1).mat,6535408.0,2cf09cf91f10a569b0cf8725864a878a,False,6.23 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature/ADVERSARIAL FEATURE LEARNING.pdf,5938452.0,a81ca715f97d156f6d03d0c080a3e1c0,False,5.66 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature
/Users/arunpatro/My Drive/Myntra/pdfs/papers/ADVERSARIAL FEATURE LEARNING.pdf,5938452.0,a81ca715f97d156f6d03d0c080a3e1c0,False,5.66 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes/(Part 2. Modeling of LTI Systems) (1).pdf,5206086.0,8d3863c4d818456debfec8c8997476da,False,4.96 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes/(Part 2. Modeling of LTI Systems).pdf,5206086.0,8d3863c4d818456debfec8c8997476da,False,4.96 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes
/Users/arunpatro/My Drive/Myntra/pdfs/papers/ADVERSARIALLY LEARNED INFERENCE.pdf,4353783.0,bfcddc3e5069a67942b73c50730b161f,False,4.15 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature/ADVERSARIALLY LEARNED INFERENCE .pdf,4353783.0,bfcddc3e5069a67942b73c50730b161f,False,4.15 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (12)_1.jpg,3551755.0,970deffe5de4e19647920e575be3f0ec,False,3.39 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (12)_1.jpg,3551755.0,970deffe5de4e19647920e575be3f0ec,False,3.39 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes/(Part 3. Time Domain Modeling).pdf,3390239.0,bb2611ea21b5f245311b2e5281e2bbd6,False,3.23 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes/(Part 3. Time Domain Modeling) (1).pdf,3390239.0,bb2611ea21b5f245311b2e5281e2bbd6,False,3.23 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes
/Users/arunpatro/My Drive/Myntra/pdfs/papers/1707.06347.pdf,2923532.0,9e0725fc34e41616c0faab684513e464,False,2.79 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/Myntra/pdfs/papers/Proximal Policy Optimization Algorithms.pdf,2923532.0,9e0725fc34e41616c0faab684513e464,False,2.79 MB,/Users/arunpatro/My Drive/Myntra/pdfs/papers
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/lectures/chapter12.pdf,2920235.0,71ce1462291a93e8380f14845367716a,False,2.78 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/lectures
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/slides/14 chapter12.pdf,2920235.0,71ce1462291a93e8380f14845367716a,False,2.78 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/slides
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110813.jpg,2706412.0,abd21499af18cfecc9376019129f419b,False,2.58 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110813 (1).jpg,2706412.0,abd21499af18cfecc9376019129f419b,False,2.58 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110743 (1).jpg,2676460.0,86a49cda58505982302ca81083d4812a,False,2.55 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110743.jpg,2676460.0,86a49cda58505982302ca81083d4812a,False,2.55 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110650.jpg,2620049.0,9efa2004f0f79e5174fd41acf22f9470,False,2.5 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110650 (1).jpg,2620049.0,9efa2004f0f79e5174fd41acf22f9470,False,2.5 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110704 (1).jpg,2568940.0,b5b65fcd63103a2f27ab9876d4dd1af5,False,2.45 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110704.jpg,2568940.0,b5b65fcd63103a2f27ab9876d4dd1af5,False,2.45 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2/DSC (2)_1.jpg,2563191.0,d087f5fae34b37fedd1add2ea7b2c203,False,2.44 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/shankar-2
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (2)_1.jpg,2563191.0,d087f5fae34b37fedd1add2ea7b2c203,False,2.44 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110827 (1).jpg,2506220.0,5fac7abb805837764b039130acaf0777,False,2.39 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110827.jpg,2506220.0,5fac7abb805837764b039130acaf0777,False,2.39 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110714 (1).jpg,2482577.0,b5dc5d5106bcfe1c0fa15297d5e40928,False,2.37 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110714.jpg,2482577.0,b5dc5d5106bcfe1c0fa15297d5e40928,False,2.37 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110625 (1).jpg,2474860.0,437da9914206fbae09459ea8eff99389,False,2.36 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110625.jpg,2474860.0,437da9914206fbae09459ea8eff99389,False,2.36 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110610 (1).jpg,2457233.0,37c1065ebf1d5472a16cb4a5a02a7a88,False,2.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110610.jpg,2457233.0,37c1065ebf1d5472a16cb4a5a02a7a88,False,2.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110637 (1).jpg,2455148.0,a95a7511aa4b225f9533e92b8eee8e96,False,2.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110637.jpg,2455148.0,a95a7511aa4b225f9533e92b8eee8e96,False,2.34 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110645 (1).jpg,2426769.0,b761f5cb97f3eff32c2b9ffcbc162426,False,2.31 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110645.jpg,2426769.0,b761f5cb97f3eff32c2b9ffcbc162426,False,2.31 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110821 (1).jpg,2393324.0,b4dc306f28c9610b88962d90358b76e4,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110821.jpg,2393324.0,b4dc306f28c9610b88962d90358b76e4,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110659.jpg,2392556.0,f8fbc675766fb59037a54daa6db2d17d,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110659 (1).jpg,2392556.0,f8fbc675766fb59037a54daa6db2d17d,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110620.jpg,2385900.0,628be1230b72b540a11ad7b6772ba0ca,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems/20150909110620 (1).jpg,2385900.0,628be1230b72b540a11ad7b6772ba0ca,False,2.28 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit Chugh Pre Midsems
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs/DSC (6)_1.jpg,2379240.0,a1714ce9744cb751f10391b8577e0c06,False,2.27 MB,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/backs
